Date,Home Team,Home Score,Away Team,Away Score
2026-03-19,Valle Catholic,3,Advance,6
2026-03-19,DeSoto,12,Arcadia Valley,5
2026-03-19,Marion C. Early,2,Ash Grove,12
2026-03-19,Bolivar,0,Aurora,10
2026-03-19,Lafayette (St. Joseph),8,Bishop LeBlond,6
2026-03-19,Plato,11,Bismarck,4
2026-03-19,Liberty,4,Blue Springs,1
2026-03-19,Wellington-Napoleon,15,Braymer with Breckenridge,0
2026-03-19,Crocker,14,Cabool,2
2026-03-19,Gainesville,10,Cassville,5
2026-03-19,Charleston,1,Central (Cape Girardeau),16
2026-03-19,St. Pius X (Festus),3,Central (Cape Girardeau),4
2026-03-19,Clarkton,2,Central (New Madrid County),12
2026-03-19,Seckman,1,Christian Brothers College,0
2026-03-19,Scott County Central,1,Cooter,16
2026-03-19,Rock Bridge,8,De Smet Jesuit,7
2026-03-19,Ft. Zumwalt East,8,Duchesne,2
2026-03-19,Osage,0,Eugene,7
2026-03-19,Francis Howell Central,1,Eureka,3
2026-03-19,Reeds Spring,3,Fordland,11
2026-03-19,Dadeville,0,Forsyth,14
2026-03-19,Union,1,Francis Howell,6
2026-03-19,Holt,4,Francis Howell North,19
2026-03-19,St. Dominic,12,Ft. Zumwalt South,3
2026-03-19,Timberland,1,Ft. Zumwalt West,3
2026-03-19,Lee's Summit West,7,Grain Valley,3
2026-03-19,Troy Buchanan,7,Hannibal,3
2026-03-19,Dixon,14,Hermann,3
2026-03-19,Branson,3,Hickman,7
2026-03-19,Halfway,16,Humansville with Fair Play,0
2026-03-19,Rockhurst,12,Kearney,11
2026-03-19,Warrenton,0,Kirkwood,8
2026-03-19,Oakville,4,Lafayette (Wildwood),7
2026-03-19,St. Pius X (Kansas City),3,Lee's Summit North,1
2026-03-19,Grain Valley,3,Lee's Summit West,7
2026-03-19,Blue Springs,1,Liberty,4
2026-03-19,Platte County,3,Liberty North,7
2026-03-19,Center,1,Lincoln College Prep,4
2026-03-19,Vianney,3,Lindbergh,2
2026-03-19,Licking,1,Logan-Rogersville,0
2026-03-19,Thayer,3,Mansfield,4
2026-03-19,Richmond,4,Marshall,6
2026-03-19,Lutheran St. Charles,2,Mehlville,12
2026-03-19,Duchesne,10,Montgomery County,0
2026-03-19,Clearwater,0,Naylor,13
2026-03-19,Westminster Christian Academy,13,Neosho,11
2026-03-19,Sarcoxie,3,New Heights Christian,6
2026-03-19,Greenfield with Golden City,15,Niangua,0
2026-03-19,Webster Groves,12,Northwest (Cedar Hill),9
2026-03-19,Hurley,0,Norwood,12
2026-03-19,William Chrisman,5,Oak Park,6
2026-03-19,Greenville,18,Oak Ridge,0
2026-03-19,Lafayette (Wildwood),7,Oakville,4
2026-03-19,Stover,0,Otterville,10
2026-03-19,Hazelwood West,1,Owensville,11
2026-03-19,Lebanon,4,Park Hill South,8
2026-03-19,Liberty North,7,Platte County,3
2026-03-19,Osborn with Stewartsville,0,Plattsburg,18
2026-03-19,Valley,0,Potosi,10
2026-03-19,Hillcrest,4,Republic,13
2026-03-19,Grandview,18,Ruskin,0
2026-03-19,Westran,5,Russellville,13
2026-03-19,Higbee,0,Salisbury,15
2026-03-19,Christian Brothers College,0,Seckman,1
2026-03-19,St. Vincent,2,Sikeston,7
2026-03-19,Harrisburg,0,Slater,8
2026-03-19,Belle,4,South Callaway,14
2026-03-19,Central (Park Hills),5,St. Charles,9
2026-03-19,Bismarck,6,Steelville,1
2026-03-19,Plato,8,Steelville,10
2026-03-19,St. Francis Borgia,11,Sullivan,1
2026-03-19,Iberia,0,Tipton,2
2026-03-19,Cameron,11,Trenton,10
2026-03-19,Raymore-Peculiar,7,Truman,4
2026-03-19,Eldon,6,Versailles,1
2026-03-19,Summersville,20,Viburnum,1
2026-03-19,Skyline,9,Warsaw,7
2026-03-19,Carl Junction,2,Webb City,0
2026-03-19,Galena,0,Wheaton,9
2026-03-19,Marshfield,3,Willard,11
2026-03-20,Neelyville,5,Alton,8
2026-03-20,Miami (Amoret),2,Appleton City,11
2026-03-20,Osceola,2,Archie,17
2026-03-20,Billings,3,Ash Grove,13
2026-03-20,Forsyth,6,Aurora,7
2026-03-20,Bakersfield,0,Ava,10
2026-03-20,Central (New Madrid County),2,Bernie,8
2026-03-20,Bourbon,1,Bismarck,11
2026-03-20,Senath-Hornersville,4,Bloomfield,2
2026-03-20,Lee's Summit North,11,Blue Springs,1
2026-03-20,Dadeville,0,Bolivar,18
2026-03-20,Owensville,3,Boonville,4
2026-03-20,Raytown South,5,Boonville,8
2026-03-20,Portageville,11,Cabool,2
2026-03-20,St. Elizabeth,14,California,4
2026-03-20,Plattsburg,7,Cameron,5
2026-03-20,Sarcoxie,1,Carthage,11
2026-03-20,South Pemiscot,0,Caruthersville with Hayti,5
2026-03-20,El Dorado Springs,9,Cassville,5
2026-03-20,Brentwood,1,Clayton,5
2026-03-20,Brentwood,1,Clayton,14
2026-03-20,Holcomb,20,Clearwater,0
2026-03-20,Elsberry,6,Clopton,7
2026-03-20,Green Ridge with La Monte,16,Crest Ridge,1
2026-03-20,Hermitage,2,Crocker,9
2026-03-20,Jasper,2,Diamond,9
2026-03-20,Maysville,22,East Buchanan,11
2026-03-20,Miller,1,East Newton,2
2026-03-20,Charleston,2,East Prairie,12
2026-03-20,Centralia,14,Eugene,4
2026-03-20,North Point,1,Eureka,2
2026-03-20,Raytown,1,Excelsior Springs,14
2026-03-20,Rock Port,3,Faith Christian Academy,10
2026-03-20,Fox,1,Festus,16
2026-03-20,Troy Buchanan,11,Francis Howell North,4
2026-03-20,Saxony Lutheran,15,Fredericktown,0
2026-03-20,Jackson,9,Ft. Zumwalt North,0
2026-03-20,Francis Howell,13,Ft. Zumwalt South,0
2026-03-20,Seckman,4,Ft. Zumwalt West,5
2026-03-20,Braymer with Breckenridge,0,Gilman City with North Daviess,8
2026-03-20,St. Michael the Archangel,5,Glendale,6
2026-03-20,St. Pius X (Kansas City),3,Grain Valley,2
2026-03-20,Capital City,16,Grandview,0
2026-03-20,Bowling Green,4,Hallsville,3
2026-03-20,Holt,6,Hannibal,13
2026-03-20,"Northwestern (Mendon) with Brunswick, Keytesville",28,Harrisburg,9
2026-03-20,Wright City,8,Herculaneum,7
2026-03-20,Linn,3,Hermann,0
2026-03-20,Mexico,0,Hickman,13
2026-03-20,Sacred Heart,7,Iberia,6
2026-03-20,Madison,0,Jamestown,13
2026-03-20,Ozark,14,Jefferson City,6
2026-03-20,West Nodaway with Nodaway-Holt,7,King City with Union Star,4
2026-03-20,West County,10,Kingston,0
2026-03-20,Pattonville,4,Kirkwood,6
2026-03-20,Ft. Zumwalt East,9,Kirkwood,3
2026-03-20,Webster Groves,5,Lafayette (Wildwood),14
2026-03-20,Macks Creek,1,Lakeland,11
2026-03-20,Butler,1,Lamar,11
2026-03-20,St. Michael the Archangel,11,Lebanon,4
2026-03-20,Carl Junction,3,Lee's Summit,13
2026-03-20,Liberty North,15,Lee's Summit West,4
2026-03-20,Clinton,7,Leeton,2
2026-03-20,Kearney,6,Liberty,7
2026-03-20,Ellington,3,Liberty (Mountain View),17
2026-03-20,Winona,1,Liberty (Mountain View),16
2026-03-20,Parkway South,0,Liberty (Wentzville),4
2026-03-20,Lee's Summit West,4,Liberty North,15
2026-03-20,Mehlville,5,Lindbergh,12
2026-03-20,Hermann,0,Linn,3
2026-03-20,Northwest (Hughesville),4,Lone Jack,10
2026-03-20,Vianney,7,Lutheran St. Charles,0
2026-03-20,Atlanta,14,Marceline,11
2026-03-20,Spokane,5,Marion C. Early,3
2026-03-20,Mark Twain,18,Marion County,3
2026-03-20,Marion County,3,Mark Twain,18
2026-03-20,Helias Catholic,1,Marquette,7
2026-03-20,Savannah,8,Marshfield,7
2026-03-20,Lindbergh,12,Mehlville,5
2026-03-20,Lebanon,3,Mexico,12
2026-03-20,Maryville,3,Mid-Buchanan,5
2026-03-20,Community,3,New Haven,1
2026-03-20,Meadville with Linn County,10,"Newtown-Harris with Grundy County, Tri-County",0
2026-03-20,Notre Dame (Cape Girardeau),10,North County,0
2026-03-20,Jefferson (Festus),4,North County,7
2026-03-20,North Nodaway,0,North Harrison,16
2026-03-20,Eureka,2,North Point,1
2026-03-20,St. Joseph Christian,12,Northeast Nodaway with Worth County,2
2026-03-20,Oakville,7,Northwest (Cedar Hill),2
2026-03-20,Jefferson (Festus),2,Notre Dame (Cape Girardeau),11
2026-03-20,Capital City,6,Oak Park,0
2026-03-20,Delta,1,Oak Ridge,10
2026-03-20,Sullivan,16,Osage,8
2026-03-20,Slater,6,Otterville,4
2026-03-20,East Carter,6,Owensville,1
2026-03-20,Poplar Bluff,8,Park Hill South,1
2026-03-20,Battle with Columbia Independent,4,Parkway Central,0
2026-03-20,Liberty (Wentzville),4,Parkway South,0
2026-03-20,Gallatin,13,Pattonsburg with Winston,0
2026-03-20,Crystal City,2,Perryville,5
2026-03-20,Verona,1,Pierce City,16
2026-03-20,Rockhurst,9,Platte County,1
2026-03-20,Richmond,6,Pleasant Hill,16
2026-03-20,Savannah,8,Poplar Bluff,9
2026-03-20,Thayer,4,Portageville,2
2026-03-20,Penney,1,Princeton,9
2026-03-20,Exeter,3,Purdy,13
2026-03-20,Albany,3,Putnam County,6
2026-03-20,Farmington,5,Rockwood Summit,6
2026-03-20,Father Tolton,12,Salisbury,2
2026-03-20,Kingsville,4,Santa Fe with Norborne,0
2026-03-20,Monroe City,1,Silex,16
2026-03-20,Fordland,9,Skyline,7
2026-03-20,Raymore-Peculiar,10,Smith-Cotton,7
2026-03-20,Puxico,13,South Iron,3
2026-03-20,Stanberry,0,South Nodaway with Jefferson (Conception),6
2026-03-20,Monett,20,Southwest (Washburn),2
2026-03-20,Montgomery County,10,St. Charles,4
2026-03-20,SLUH,7,St. Charles West,0
2026-03-20,Herculaneum,6,St. Clair,7
2026-03-20,Wright City,1,St. Clair,8
2026-03-20,Belle,8,St. Francis Borgia,6
2026-03-20,Clever,20,St. James,3
2026-03-20,Smithville,1,Staley,11
2026-03-20,Hillsboro,15,Ste. Genevieve,0
2026-03-20,Warsaw,0,Strafford,10
2026-03-20,Paris with Faith Walk,6,Sturgeon,11
2026-03-20,Stover,3,Sweet Springs,13
2026-03-20,Christian Brothers College,9,Timberland,9
2026-03-20,North Kansas City,5,Truman,11
2026-03-20,St. Dominic,10,Union,0
2026-03-20,Hillsboro,6,Valle Catholic,7
2026-03-20,Warrenton,3,Valley Park,2
2026-03-20,Scott City,12,Van Buren,2
2026-03-20,Lathrop,0,Van Horn,4
2026-03-20,Lincoln,2,Versailles,10
2026-03-20,Missouri Military Academy,0,Vienna,15
2026-03-20,Conway,4,Waynesville,15
2026-03-20,Climax Springs,0,Weaubleau,10
2026-03-20,Lafayette (Wildwood),14,Webster Groves,5
2026-03-20,South Holt,1,West Platte,11
2026-03-20,Buffalo,3,Wheatland,6
2026-03-20,Dexter,0,Willard,8
2026-03-20,Mansfield,8,Willow Springs,1
2026-03-20,Concordia,2,Windsor,4
2026-03-20,Northeast (Kansas City),1,Winnetonka,18
2026-03-20,Viburnum,2,Woodland,13
2026-03-21,Plattsburg,13,Albany,2
2026-03-21,Houston,0,Alton,1
2026-03-21,West Plains,4,Belton,2
2026-03-21,Mountain Grove,5,Belton,1
2026-03-21,St. Elizabeth,8,Blair Oaks,9
2026-03-21,St. Pius X (Kansas City),14,Blue Springs,4
2026-03-21,El Dorado Springs,3,Bolivar,10
2026-03-21,Branson,7,Boonville,8
2026-03-21,Green City,0,Brookfield,10
2026-03-21,Licking,20,Buffalo,2
2026-03-21,Strafford,12,Buffalo,1
2026-03-21,Diamond,22,Butler,0
2026-03-21,Blair Oaks,14,Camdenton,3
2026-03-21,St. Elizabeth,9,Camdenton,13
2026-03-21,Lawson,3,Carrollton,9
2026-03-21,Lone Jack,8,Carrollton,9
2026-03-21,Savannah,8,Carthage,7
2026-03-21,East Carter,10,Carthage,3
2026-03-21,Dadeville,7,Cassville,15
2026-03-21,Tipton,2,Chillicothe,13
2026-03-21,Hallsville,5,Clark County,6
2026-03-21,Scott City,18,Clarkton,0
2026-03-21,Winfield,15,Clopton,16
2026-03-21,Hartville,17,Crane,0
2026-03-21,Southwest (Washburn),8,Crane,5
2026-03-21,Weaubleau,1,Crocker,16
2026-03-21,Veritas Christian Academy,5,Crocker,4
2026-03-21,Fox,3,DeSoto,7
2026-03-21,Fatima,3,DeSoto,5
2026-03-21,Smith-Cotton,12,Dexter,6
2026-03-21,Richland,2,Eldon,13
2026-03-21,Linn,1,Eldon,2
2026-03-21,Odessa,7,Excelsior Springs,10
2026-03-21,Summit Christian Academy,7,Excelsior Springs,4
2026-03-21,Higbee,1,Fayette,4
2026-03-21,Fatima,0,Festus,14
2026-03-21,Gainesville,3,Forsyth,1
2026-03-21,St. Dominic,2,Francis Howell,13
2026-03-21,North Point,0,Francis Howell Central,3
2026-03-21,Hannibal,4,Francis Howell North,6
2026-03-21,Parkway Central,17,Ft. Zumwalt North,1
2026-03-21,Battle with Columbia Independent,11,Ft. Zumwalt North,5
2026-03-21,Union,14,Ft. Zumwalt South,2
2026-03-21,Christian Brothers College,9,Ft. Zumwalt West,11
2026-03-21,Palmyra,10,Fulton,8
2026-03-21,Mexico,7,Glendale,13
2026-03-21,Poplar Bluff,3,Glendale,4
2026-03-21,Jefferson City,20,Grandview,2
2026-03-21,Oak Park,19,Grandview,3
2026-03-21,Arcadia Valley,5,Greenville,15
2026-03-21,Southwest (Washburn),0,Hartville,9
2026-03-21,Stoutland,5,Hermitage,4
2026-03-21,St. Michael the Archangel,3,Hickman,5
2026-03-21,South Pemiscot,4,Holcomb,0
2026-03-21,Van Buren,3,Holcomb,1
2026-03-21,Troy Buchanan,6,Holt,1
